iter	Passed	Remaining
411	2390	3411
412	2393	3402
413	2397	3393
414	2400	3383
415	2403	3374
416	2407	3365
417	2411	3357
418	2414	3347
419	2417	3338
420	2420	3329
421	2424	3320
422	2428	3312
423	2431	3303
424	2434	3294
425	2438	3286
426	2442	3277
427	2445	3268
428	2448	3259
429	2452	3250
430	2456	3242
431	2459	3234
432	2463	3225
433	2466	3216
434	2470	3208
435	2474	3200
436	2477	3191
437	2480	3183
438	2484	3175
439	2488	3167
440	2491	3158
441	2495	3150
442	2499	3142
443	2502	3134
444	2506	3126
445	2509	3117
446	2513	3109
447	2516	3101
448	2520	3092
449	2523	3084
450	2526	3076
451	2530	3067
452	2534	3059
453	2537	3051
454	2540	3043
455	2544	3035
456	2547	3027
457	2551	3019
458	2554	3011
459	2558	3003
460	2561	2994
461	2565	2987
462	2568	2979
463	2572	2971
464	2575	2963
465	2579	2955
466	2583	2948
467	2586	2940
468	2590	2932
469	2594	2925
470	2597	2917
471	2601	2909
472	2604	2901
473	2607	2894
474	2611	2886
475	2614	2878
476	2618	2870
477	2622	2863
478	2625	2855
479	2629	2848
480	2632	2840
481	2636	2833
482	2640	2826
483	2643	2818
484	2647	2811
485	2650	2803
486	2654	2795
487	2657	2788
488	2660	2780
489	2663	2772
490	2667	2764
491	2670	2757
492	2673	2749
493	2676	2741
494	2680	2734
495	2683	2726
496	2686	2719
497	2690	2711
498	2693	2704
499	2696	2696
500	2700	2689
501	2703	2682
502	2706	2674
503	2709	2666
504	2712	2659
505	2716	2651
506	2719	2644
507	2722	2637
508	2726	2629
509	2729	2622
510	2733	2615
511	2736	2608
512	2739	2600
513	2742	2593
514	2746	2586
515	2750	2579
516	2753	2572
517	2756	2564
518	2759	2557
519	2763	2551
520	2766	2543
521	2769	2536
522	2772	2528
523	2775	2521
524	2779	2514
525	2782	2507
526	2785	2500
527	2789	2493
528	2792	2486
529	2795	2479
530	2799	2472
531	2802	2464
532	2805	2457
533	2808	2450
534	2811	2443
535	2814	2436
536	2817	2429
537	2821	2422
538	2824	2416
539	2828	2409
540	2831	2402
541	2834	2395
542	2838	2388
543	2841	2381
544	2844	2374
545	2847	2368
546	2851	2361
547	2854	2354
548	2858	2348
549	2861	2341
550	2865	2334
551	2868	2328
552	2871	2321
553	2874	2314
554	2878	2307
555	2881	2300
556	2884	2294
557	2887	2287
558	2891	2280
559	2894	2274
560	2897	2267
561	2900	2260
562	2904	2254
563	2908	2248
564	2911	2241
565	2914	2234
566	2917	2228
567	2920	2221
568	2924	2214
569	2927	2208
570	2930	2201
571	2933	2195
572	2936	2188
573	2939	2181
574	2942	2175
575	2946	2168
576	2949	2162
577	2952	2155
578	2956	2149
579	2959	2143
580	2962	2136
581	2966	2130
582	2969	2124
583	2973	2117
584	2976	2111
585	2980	2105
586	2983	2099
587	2986	2092
588	2990	2086
589	2993	2080
590	2996	2073
591	3000	2067
592	3003	2061
593	3007	2055
594	3010	2049
595	3013	2042
596	3016	2036
597	3020	2030
598	3023	2024
599	3026	2017
600	3029	2011
601	3033	2005
602	3036	1998
603	3039	1992
604	3042	1986
605	3045	1980
606	3048	1973
607	3052	1968
608	3055	1962
609	3059	1955
610	3062	1949
611	3065	1943
612	3068	1937
613	3072	1931
614	3075	1925
615	3078	1919
616	3081	1912
617	3085	1907
618	3088	1901
619	3092	1895
620	3095	1889
621	3098	1883
622	3102	1877
623	3105	1871
624	3108	1865
625	3112	1859
626	3115	1853
627	3118	1847
628	3122	1841
629	3125	1835
630	3128	1829
631	3131	1823
632	3134	1817
633	3138	1811
634	3140	1805
635	3143	1799
636	3147	1793
637	3151	1787
638	3154	1781
639	3157	1775
640	3160	1770
641	3163	1764
642	3167	1758
643	3170	1752
644	3173	1746
645	3176	1740
646	3179	1734
647	3183	1729
648	3186	1723
649	3189	1717
650	3193	1711
651	3196	1705
652	3199	1700
653	3202	1694
654	3205	1688
655	3208	1682
656	3212	1676
657	3215	1671
658	3218	1665
659	3221	1659
660	3229	1656
661	3233	1651
662	3238	1646
663	3242	1640
664	3247	1635
665	3250	1630
666	3254	1624
667	3257	1619
668	3261	1613
669	3265	1608
670	3270	1603
671	3274	1598
672	3278	1592
673	3282	1587
674	3286	1582
675	3289	1576
676	3293	1571
677	3297	1566
678	3300	1560
679	3304	1555
680	3308	1549
681	3312	1544
682	3316	1539
683	3319	1533
684	3324	1528
685	3328	1523
686	3332	1518
687	3336	1513
688	3340	1507
689	3344	1502
690	3348	1497
691	3352	1492
692	3356	1487
693	3361	1482
694	3364	1476
695	3369	1471
696	3373	1466
697	3377	1461
698	3381	1455
699	3384	1450
700	3388	1445
701	3392	1440
702	3396	1435
703	3400	1429
704	3403	1424
705	3407	1419
706	3411	1413
707	3415	1408
708	3419	1403
709	3422	1397
710	3426	1392
711	3430	1387
712	3433	1382
713	3437	1376
714	3441	1371
715	3444	1366
716	3448	1361
717	3452	1356
718	3456	1350
719	3459	1345
720	3463	1340
721	3467	1335
722	3471	1330
723	3475	1324
724	3479	1319
725	3482	1314
726	3486	1309
727	3490	1304
728	3494	1298
729	3498	1293
730	3501	1288
731	3505	1283
732	3509	1278
733	3513	1273
734	3517	1268
735	3522	1263
736	3526	1258
737	3530	1253
738	3533	1248
739	3537	1242
740	3541	1237
741	3545	1232
742	3549	1227
743	3553	1222
744	3557	1217
745	3561	1212
746	3564	1207
747	3568	1202
748	3572	1197
749	3576	1192
750	3579	1186
751	3583	1181
752	3587	1176
753	3591	1171
754	3595	1166
755	3598	1161
756	3602	1156
757	3606	1151
758	3609	1146
759	3613	1141
760	3617	1135
761	3621	1130
762	3624	1125
763	3627	1120
764	3630	1115
765	3634	1110
766	3638	1105
767	3641	1100
768	3645	1094
769	3648	1089
770	3652	1084
771	3655	1079
772	3659	1074
773	3663	1069
774	3667	1064
775	3671	1059
776	3675	1054
777	3678	1049
778	3682	1044
779	3686	1039
780	3689	1034
781	3692	1029
782	3697	1024
783	3700	1019
784	3704	1014
785	3707	1009
786	3711	1004
787	3715	999
788	3718	994
789	3722	989
790	3725	984
791	3729	979
792	3733	974
793	3736	969
794	3740	964
795	3744	959
796	3747	954
797	3751	949
798	3754	944
799	3757	939
800	3761	934
801	3764	929
802	3767	924
803	3770	919
804	3773	914
805	3777	909
806	3781	904
807	3784	899
808	3788	894
809	3791	889
810	3794	884
811	3798	879
812	3801	874
813	3804	869
814	3808	864
815	3811	859
816	3814	854
817	3818	849
818	3821	844
819	3825	839
820	3829	834
821	3833	830
822	3837	825
823	3840	820
824	3844	815
825	3847	810
826	3851	805
827	3854	800
828	3857	795
829	3861	790
830	3865	786
831	3868	781
832	3871	776
833	3875	771
834	3878	766
835	3882	761
836	3885	756
837	3889	751
838	3892	746
839	3896	742
840	3900	737
841	3903	732
842	3907	727
843	3912	723
844	3916	718
845	3920	713
846	3925	709
847	3929	704
848	3933	699
849	3936	694
850	3940	689
851	3944	685
852	3947	680
853	3951	675
854	3955	670
855	3958	665
856	3962	661
857	3965	656
858	3970	651
859	3973	646
860	3977	642
861	3981	637
862	3985	632
863	3988	627
864	3991	623
865	3995	618
866	3998	613
867	4002	608
868	4006	603
869	4009	599
870	4013	594
871	4016	589
872	4020	584
873	4024	580
874	4027	575
875	4031	570
876	4034	565
877	4038	561
878	4042	556
879	4045	551
880	4049	546
881	4052	542
882	4056	537
883	4061	532
884	4064	528
885	4069	523
886	4073	518
887	4077	514
888	4080	509
889	4084	504
890	4087	500
891	4091	495
892	4095	490
893	4098	485
894	4101	481
895	4105	476
896	4109	471
897	4112	467
898	4115	462
899	4119	457
900	4122	453
901	4126	448
902	4130	443
903	4133	438
904	4138	434
905	4141	429
906	4145	425
907	4149	420
908	4153	415
909	4157	411
910	4161	406
911	4164	401
912	4168	397
913	4172	392
914	4176	387
915	4179	383
916	4183	378
917	4187	374
918	4191	369
919	4195	364
920	4199	360
921	4202	355
922	4206	350
923	4209	346
924	4212	341
925	4216	336
926	4220	332
927	4223	327
928	4227	323
929	4231	318
930	4235	313
931	4238	309
932	4243	304
933	4246	300
934	4250	295
935	4253	290
936	4256	286
937	4259	281
938	4263	276
939	4266	272
940	4269	267
941	4273	263
942	4276	258
943	4279	253
944	4282	249
945	4286	244
946	4289	240
947	4292	235
948	4295	230
949	4299	226
950	4302	221
951	4306	217
952	4309	212
953	4312	207
954	4315	203
955	4319	198
956	4322	194
957	4325	189
958	4328	185
959	4332	180
960	4335	175
961	4339	171
962	4342	166
963	4345	162
964	4350	157
965	4353	153
966	4356	148
967	4359	144
968	4363	139
969	4366	135
970	4369	130
971	4373	125
972	4376	121
973	4379	116
974	4383	112
975	4385	107
976	4389	103
977	4392	98
978	4395	94
979	4398	89
980	4402	85
981	4405	80
982	4408	76
983	4412	71
984	4415	67
985	4418	62
986	4422	58
987	4425	53
988	4428	49
989	4431	44
990	4435	40
991	4438	35
992	4441	31
993	4444	26
994	4448	22
995	4451	17
996	4454	13
997	4458	8
998	4461	4
999	4464	0
